,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
46,samsung,17999.0,19990.0,9.95997999,4.3,5228.0,Galaxy Watch 3 41 mm,Circle,Black,Fluoroelastomer,1,3.6,1,4.4,20 - 35 g
47,samsung,18000.0,34999.0,48.56995914,4.3,5228.0,Galaxy Watch 3 41 mm,Circle,Black,Fluoroelastomer,1,3.5,1,1.4,75g +
48,garmin,16990.0,22490.0,24.45531347,4.3,312.0,GM-010-02427-80,Circle,Black,Silicon,1,22.0,1,1.3,35 - 50 g
49,garmin,27990.0,36490.0,23.29405317,4.5,4339.0,7.54E+11,Circle,Black,Silicon,1,17.5,1,1.2,<= 20 g
50,garmin,39490.0,44990.0,15.19371993,3.7,6.0,7.54E+11,Circle,Black,Silicon,1,22.0,1,35.9,35 - 50 g
51,garmin,18990.0,27990.0,32.15434084,4.3,19.0,7.54E+11,Circle,Black,Silicon,1,17.5,1,1.2,<= 20 g
52,garmin,39490.0,44990.0,15.19371993,5.0,1.0,7.54E+11,Circle,Black,Silicon,1,22.0,1,35.9,35 - 50 g
53,garmin,34990.0,51990.0,32.69859588,4.3,19.0,GM-010-02445-60,Circle,Black,Carbon-Fiber;,1,8.0,1,1.2,35 - 50 g
54,garmin,39490.0,44990.0,15.19371993,3.8,38.0,7.54E+11,Circle,Black,Stainless Steel,1,8.0,1,30.0,75g +
55,garmin,20990.0,25990.0,19.23816853,4.3,127.0,7.54E+11,Circle,Black,Silicon,1,17.5,1,1.2,<= 20 g
56,garmin,18990.0,20490.0,7.320644217,3.5,7.0,7.54E+11,Circle,Black,Silicon,1,17.5,1,1.2,20 - 35 g
57,garmin,78490.0,89460.0,12.26246367,4.4,6.0,7.54E+11,Circle,Black,Silicon,1,17.5,1,1.2,<= 20 g
58,huawei,26581.0,42513.0,37.4755957,4.7,830.0,Fit,Circle,Black,Silicon,1,8.0,1,1.4,35 - 50 g
59,huawei,16499.0,29999.0,45.00150005,4.7,7108.0,Fit,Circle,Black,Silicon,1,8.0,1,1.4,35 - 50 g
60,huawei,6400.0,11999.0,46.66222185,4.5,49.0,Leia-B19,Circle,Black,Silicon,1,8.0,1,0.5,75g +
61,noise,3799.0,7999.0,52.50656332,3.8,545.0,Wrb-sw-colorfitpro4alpha-std-slvr_gry,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
62,dizo,2126.0,5999.0,64.56076013,3.7,18.0,D TALK SMART WATCH (SILVER GREY),Rectangle,Black,Silicon,1,8.0,1,1.9,20 - 35 g
63,dizo,2999.0,1669.0,-79.68843619,4.0,2.0,D TALK SMART WATCH (SILVER GREY),Rectangle,Black,Silicon,1,22.0,1,1.8,75g +
64,dizo,2749.0,5999.0,47.510002189999994,2.4,7.0,D TALK SMART WATCH (SILVER GREY),Rectangle,Black,Silicon,1,22.0,1,1.8,75g +
65,fire-boltt,3299.0,9999.0,65.00650065,4.3,39274.0,BSW049,Square,Black,Silicon,1,3.5,1,1.3,35 - 50 g
66,dizo,4299.0,6999.0,38.57693956,2.5,2.0,D TALK SMART WATCH (SILVER GREY),Rectangle,Black,Silicon,1,8.0,1,1.8,75g +
67,fire-boltt,1299.0,9999.0,87.00870087,4.2,25784.0,BSW030,Square,Black,Silicon,1,8.0,1,1.7,35 - 50 g
68,fire-boltt,1799.0,9999.0,82.00820082,4.2,33415.0,BSW042,Square,Black,Silicon,1,8.0,1,1.3,50 - 75 g
69,noise,1799.0,4999.0,64.01280256,4.1,13901.0,wrb-sw-colorfitpulsegobuzz-std-rgld_pnk,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
70,gizmore,1699.0,5499.0,69.10347336,2.7,10.0,910,Square,Black,Silicon,1,5.75,1,1.6,75g +
71,gizmore,1599.0,5999.0,73.34555759,4.3,37.0,GIZFIT 908 Pro_Black,Square,Black,Silicon,1,12.5,1,1.7,75g +
72,gizmore,1499.0,5999.0,75.01250208,4.0,69.5,Gizmore Ultra smartwatch-cr,Square,Black,Silicon,1,5.75,1,1.6,75g +
73,gizmore,1699.0,7999.0,78.75984498,2.0,5.0,910,Square,Black,Silicon,1,5.75,1,1.7,50 - 75 g
74,gizmore,3299.0,5999.0,45.00750125,4.0,102.0,Gizfit 910,Square,Black,Silicon,1,8.0,1,1.3,75g +
75,gizmore,1499.0,5999.0,75.01250208,3.0,2.0,910,Square,Black,Silicon,1,5.75,1,1.6,75g +
76,gizmore,3299.0,5999.0,45.00750125,4.0,102.0,910,Square,Black,Plastic,1,12.5,1,1.3,75g +
77,gizmore,1699.0,5499.0,69.10347336,2.5,3.0,Gizfit Blaze Smartwatch-cr,Square,Black,Silicon,1,5.75,1,1.6,75g +
78,ambrane,2368.0,4499.0,47.36608135,3.5,301.0,FitShot Curl,Square,Black,Silicon,1,12.5,1,1.7,35 - 50 g
79,ambrane,2199.0,4999.0,56.01120224,3.9,256.0,FitShot Sphere,Square,Black,Silicon,1,8.0,1,1.7,35 - 50 g
80,fire-boltt,1799.0,2199.0,18.1900864,4.3,39274.0,BSW049,Square,Black,Silicon,1,3.5,1,1.3,35 - 50 g
81,fire-boltt,1999.0,7999.0,75.00937617,4.1,33012.0,BSW024,Square,Black,Silicon,1,8.0,1,1.7,35 - 50 g
82,zebronics,1799.0,6499.0,72.31881828,3.8,2138.0,ZEB-DRIP,Square,Black,Silicon,1,3.5,1,4.3,35 - 50 g
83,noise,1799.0,3999.0,55.01375344,4.0,32704.0,wrb-sw-colorfitgrand-std-cgry_cgry,Rectangle,Black,Other,1,8.0,1,1.7,35 - 50 g
84,pebble,2999.0,6999.0,57.15102157,3.8,3563.0,PFB22 Mint Green,Square,Black,Silicon,1,8.0,1,1.8,75g +
85,pebble,4499.0,7499.0,40.00533404,3.6,94.0,PFB13 Charcoal Black,Square,Black,Silicon,1,12.5,1,1.3,35 - 50 g
86,pebble,3999.0,6999.0,43.563339745,3.6,725.0,PFB16 Black Rock,Square,Black,Silicon,1,12.5,1,1.3,50 - 75 g
87,pebble,4299.0,7499.0,42.67235631,3.6,55.0,PFB24,Square,Black,Silicon,1,12.5,1,1.1,35 - 50 g
88,crossbeats,3999.0,11999.0,66.67222269,3.9,3856.0,S4 Max,,,,1,3.6,1,1.9,20 - 35 g
89,crossbeats,3999.0,7999.0,50.00625078,3.9,3856.0,S4 Max,,,,1,3.6,1,1.9,20 - 35 g
90,fire-boltt,2499.0,9999.0,75.00750075,4.1,2571.0,BSW072,Square,Black,Silicon,1,8.0,1,2.0,75g +
91,hammer,1799.0,4999.0,64.01280256,3.6,516.0,,,,,2,,1,1.8,75g +
92,zebronics,2099.0,7999.0,73.7592199,3.8,7386.0,ZEB-FIT7220CH (Metallic Silver),Square,Black,Metal,1,8.0,1,4.4,75g +
93,zebronics,1999.0,3999.0,50.01250313,3.8,2452.0,Zeb-Fit280CH(Blue),Square,Black,Other,1,8.0,1,3.5,75g +
94,zebronics,2449.0,8499.0,71.18484528,3.9,207.0,FIT380CH,Square,Black,Silicon,1,8.0,1,3.3,35 - 50 g
95,zebronics,1399.0,3999.0,65.01625406,4.0,311.0,FIT380CH,Square,Black,Silicon,1,22.0,1,4.3,35 - 50 g
96,zebronics,1799.0,6499.0,72.31881828,3.8,2138.0,ZEB-DRIP (BLUE),Square,Black,Silicon,1,3.5,1,3.3,35 - 50 g
97,zebronics,3499.0,11499.0,69.57126707,4.2,52.0,ZEB FIT 4 - BLACK (ICONIC ULTRA),Square,Black,Silicon,1,0.75,1,1.8,50 - 75 g
98,zebronics,3599.0,10999.0,67.27884353,3.9,1611.0,ZEB - COSMOS Lv1 - METALLIC BLACK,Square,Black,Silicon,1,8.0,1,4.5,50 - 75 g
99,zebronics,1999.0,6999.0,71.43877697,3.8,2138.0,ZEB-DRIP (METAL SILVER),Square,Black,Silicon,1,3.5,1,4.3,35 - 50 g
100,zebronics,2399.0,5999.0,60.01000167,3.8,3805.0,ZEB-FIT5220CH(Gold Metal),Square,Black,Other,1,22.0,1,4.4,35 - 50 g
101,zebronics,2624.0,5999.0,56.01120224,3.5,100.0,ZEB-FIT7220CH (Metallic Silver)-cr,Square,Black,Silicon,1,8.0,1,4.4,75g +
102,zebronics,3599.0,10999.0,67.27884353,3.9,1611.0,ZEB - COSMOS Lv1 CLASSIC BLACK,Square,Black,Silicon,1,8.0,1,4.5,50 - 75 g
103,fire-boltt,1299.0,7999.0,83.76047006,4.2,25784.0,BSW030,Square,Black,Silicon,1,8.0,1,1.7,35 - 50 g
104,fire-boltt,2499.0,11999.0,79.17326444,4.1,1990.0,BSW070,Square,Black,Silicon,1,8.0,1,1.9,75g +
105,fire-boltt,2499.0,9999.0,75.00750075,4.2,23302.0,BSW043,Square,Black,Silicon,1,3.5,1,1.8,50 - 75 g
106,fire-boltt,1794.0,7999.0,77.57219652,4.1,33012.0,BSW024,Square,Black,Silicon,1,8.0,1,1.7,35 - 50 g
107,fire-boltt,3499.0,11999.0,70.8392366,4.1,44170.0,BSW005,Square,Black,Silicon,1,3.5,1,1.9,75g +
108,fire-boltt,2499.0,18999.0,86.84667614,4.2,11.0,BSW073,Square,Black,Silicon,1,3.5,1,1.9,75g +
109,fire-boltt,1399.0,11999.0,88.34069506,4.1,1519.0,BSW037,Square,Black,Silicon,1,8.0,1,1.8,75g +
110,fire-boltt,1899.0,8999.0,78.8976553,4.0,15543.0,BSW003,Square,Black,Silicon,1,8.0,1,1.3,50 - 75 g
111,fire-boltt,1799.0,11999.0,85.00708392,4.3,39274.0,BSW100,Square,Black,Silicon,1,3.5,1,1.4,75g +
112,apple,29650.0,29900.0,0.836120401,4.5,154.0,Watch SE GPS (2nd Gen),Rectangle,Midnight,Silicon,1,22.0,1,1.6,<= 20 g
113,apple,37900.0,31400.0,1.570779866,4.4,65.0,Watch SE GPS + Cellular (2nd Gen),Rectangle,Starlight Sport,Silicon,1,22.0,1,1.7,<= 20 g
114,apple,23349.0,23900.0,2.305439331,4.6,55800.0,"Watch Series 3 (GPS, 42mm) - Space Grey Aluminium Case with Black Sport Band",Rectangle,Black,Silicon,1,22.0,1,1.7,<= 20 g
115,apple,33900.0,31400.0,1.570779866,4.6,3440.0,Watch SE GPS + Cellular,Rectangle,Pink,Silicon,1,22.0,1,1.6,<= 20 g
116,apple,89900.0,31400.0,1.570779866,4.7,51.0,Watch Ultra GPS + Cellular,Rectangle,Orange Alpine,Fabric,1,3.5,1,1.9,75g +
117,apple,55900.0,31400.0,1.570779866,4.5,132.0,Watch Series 8 GPS + Cellular,Rectangle,Starlight Sport,Silicon,1,22.0,1,1.6,<= 20 g
118,apple,44730.0,44900.0,0.378619154,4.6,2847.0,"Watch Series7 (GPS, 45mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,1,22.0,1,1.8,20 - 35 g
119,apple,41900.0,31400.0,1.570779866,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,1,22.0,1,1.6,<= 20 g
120,apple,29900.0,31400.0,1.570779866,4.6,5502.0,"Watch SE (GPS, 40mm) - Gold Aluminium Case with Starlight Sport Band - Regular",Rectangle,Gold,Silicon,1,22.0,1,1.6,<= 20 g
121,apple,49666.0,50900.0,2.424361493,4.5,1519.0,"Watch Series7 (GPS + Cellular, 41mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,1,22.0,1,1.6,<= 20 g
122,apple,53900.0,31400.0,1.570779866,4.5,1519.0,"Watch Series7 (GPS + Cellular, 45mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,1,22.0,1,1.8,20 - 35 g
123,apple,49900.0,31400.0,1.570779866,4.5,1349.0,Watch Series 6 GPS + Cellular,Rectangle,Black,Silicon,1,22.0,1,1.6,20 - 35 g
124,apple,48900.0,31400.0,1.570779866,4.3,158.0,Watch Series 8 GPS,Rectangle,Starlight Sport,Silicon,1,22.0,1,1.8,20 - 35 g
125,apple,29900.0,31400.0,1.570779866,4.6,5502.0,"Watch SE(GPS, 40mm) - Silver Aluminium Case with Abyss Blue Sport Band - Regular",Rectangle,Silver,Silicon,1,22.0,1,1.6,<= 20 g
126,apple,29900.0,31400.0,1.570779866,4.6,5502.0,Apple Watch SE,Rectangle,White,Silicon,1,22.0,1,1.6,<= 20 g
127,apple,32899.0,32900.0,0.003039514,4.6,5502.0,"Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Midnight Sport Band",Rectangle,Grey,Silicon,1,22.0,1,1.7,20 - 35 g
128,apple,22900.0,23900.0,4.184100418,4.6,55800.0,"Watch Series 3 (GPS, 42mm) - Silver Aluminium Case with White Sport Band",Rectangle,White,Silicon,1,22.0,1,1.7,<= 20 g
129,apple,41900.0,31400.0,1.570779866,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Midnight Aluminium Case with Midnight Sport Band",Rectangle,Black,Aluminium,1,22.0,1,1.6,<= 20 g
130,apple,53900.0,31400.0,1.570779866,4.5,1519.0,Watch Series7 (GPS+Cellular-45mm)Green Aluminium Case-Clover Sport Band,Rectangle,Green,Aluminium,1,22.0,1,1.8,20 - 35 g
131,apple,44900.0,31400.0,1.570779866,4.6,2847.0,Watch Series7 (GPS-45mm) (PRODUCT)RED Aluminium Case-(PRODUCT)RED Sport Band,Rectangle,Red,Aluminium,1,22.0,1,1.8,20 - 35 g
132,apple,44900.0,31400.0,1.570779866,4.6,2847.0,"Watch Series7 (GPS, 45mm) - Blue Aluminium Case with Abyss Blue Sport Band",Rectangle,Blue,Aluminium,1,22.0,1,1.8,20 - 35 g
133,apple,41900.0,31400.0,1.570779866,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Blue Aluminium Case with Abyss Blue Sport Band",Rectangle,Blue,Aluminium,1,22.0,1,1.6,<= 20 g
134,apple,40900.0,31400.0,1.570779866,4.5,1720.0,Watch Series 6 GPS,Rectangle,Black,Silicon,1,22.0,1,1.6,20 - 35 g
135,apple,41900.0,31400.0,1.570779866,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Starlight Aluminium Case with Starlight Sport Band",Rectangle,White,Aluminium,1,22.0,1,1.6,<= 20 g
136,apple,32900.0,31400.0,1.570779866,4.6,5502.0,"Watch SE (GPS, 44mm) - Gold Aluminium Case with Starlight Sport Band - Regular",Rectangle,Gold,Silicon,1,22.0,1,1.7,20 - 35 g
137,apple,73900.0,31400.0,1.570779866,4.5,1519.0,"Watch Series7(GPS+Cellular, 41mm)-Gold Stainless Steel Case-Gold Milanese Loop",Rectangle,Gold,Stainless Steel,1,22.0,1,1.6,<= 20 g
138,noise,1999.0,5999.0,66.67777963,4.2,80483.0,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",Rectangle,Black,Silicon,1,22.0,1,1.8,35 - 50 g
139,noise,1299.0,3999.0,67.51687922,4.2,27445.0,"ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces",Square,Black,Silicon,1,22.0,1,1.7,35 - 50 g
140,noise,1799.0,4999.0,64.01280256,4.2,219512.0,"Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games",Rectangle,Black,Silicon,1,22.0,1,1.7,35 - 50 g
141,noise,1499.0,4999.0,70.0140028,3.4,504.0,"ColorFit Caliber 2 with 1.83'' display Up to 12 Day Battery, 60 sports mode",Rectangle,Green,Silicon,1,8.0,1,1.8,35 - 50 g
142,noise,1599.0,4999.0,68.01360272,4.3,4398.0,"Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness",Rectangle,Green,Silicon,1,22.0,1,1.7,35 - 50 g
143,noise,1499.0,3999.0,62.51562891,4.2,275607.0,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",Square,White,Silicon,1,8.0,1,1.7,35 - 50 g
144,noise,3999.0,6999.0,42.86326618,4.4,12469.0,"Evolve 3, 1.43"" AMOLED AOD, 466*466px, 500 nits, BT calling,Tru Sync Technology",Circle,Black,Silicon,1,22.0,1,1.4,35 - 50 g
145,noise,2999.0,7999.0,62.50781348,4.3,11755.0,ColorFit Vision 2 Buzz,Square,Black,Silicon,1,22.0,1,1.8,35 - 50 g
146,noise,2999.0,5999.0,50.00833472,4.3,13108.0,"ColorFit Pro4 BT Calling 1.72"" TruView Display, Fully-functional digital crown",Rectangle,Black,Silicon,1,22.0,1,1.7,35 - 50 g
147,noise,2499.0,6999.0,64.29489927,4.3,3944.0,"ColorFit Loop Advanced BT Calling with 1.85"" display,130+Sports Modes",Square,Grey,Silicon,1,22.0,1,1.9,35 - 50 g
148,noise,1299.0,4999.0,74.01480296,4.1,142612.0,"Qube with 1.4"" Full Touch display, Multi-Sports modes, 7-day Battery,Spo2",Square,Black,Thermo Plastic Polyurethene,1,22.0,1,1.4,35 - 50 g
149,noise,2999.0,8999.0,66.6740749,4.1,22942.0,"Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2",Circle,Black,Silicon,1,22.0,1,1.3,35 - 50 g
150,noise,3799.0,5999.0,36.6727788,4.2,6004.0,"ColorFit Pro4 Max 1.8"" BT Calling, Noise detection, Noise Health Suite",Rectangle,Black,Silicon,1,22.0,1,1.8,35 - 50 g
151,noise,1499.0,4999.0,70.0140028,4.1,148555.0,ColorFit Pro 2,Rectangle,Black,Synthetic,1,22.0,1,1.3,<= 20 g
152,noise,1799.0,5999.0,70.01166861,4.2,32505.0,ColorFit Brio,Rectangle,Black,Thermo Plastic Polyurethene,1,22.0,1,1.5,35 - 50 g
153,noise,1999.0,5999.0,66.67777963,4.1,69379.0,ColorFit Pro 3,Rectangle,Black,Thermo Plastic Polyurethene,1,3.5,1,1.6,20 - 35 g
154,noise,1499.0,3999.0,62.51562891,4.0,6638.0,"Core 2 1.28"" Display , Noisefit sync app, 100+ watch faces & 50+ Sports Modes",Circle,Black,Silicon,1,22.0,1,1.3,35 - 50 g
155,noise,1799.0,5999.0,70.01166861,4.1,3506.0,"ColorFit Caliber 2 Buzz Advanced BT Calling, 1.85"" display,10 days battery",Square,Black,Silicon,1,22.0,1,1.8,35 - 50 g
156,noise,1799.0,3999.0,55.01375344,4.2,5970.0,X-Fit 2 (HRX Edition) Smart Watch with 1.69inch Display & 60 Sports Modes,Rectangle,Grey,Silicon,1,22.0,1,1.7,35 - 50 g
157,boat,1799.0,7990.0,77.48435544,4.1,125524.0,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,Rectangle,Blue,Silicon,1,22.0,1,1.7,35 - 50 g
158,boat,1699.0,5990.0,71.6360601,4.0,98388.0,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",Rectangle,Black,Silicon,1,22.0,1,1.7,35 - 50 g
159,boat,2499.0,8990.0,72.20244716,4.2,2893.0,"Wave Infinity with 1.85"" HD Screen, Functional Crown and Bluetooth Calling",Rectangle,Black,Silicon,1,22.0,1,1.9,35 - 50 g
160,boat,3299.0,9799.0,66.33329932,4.1,13261.0,"Storm Pro Call with Bluetooth Calling, 1.78'' AMOLED Display and ASAP Charge",Rectangle,Red,Silicon,1,22.0,1,1.8,35 - 50 g
161,boat,1499.0,5990.0,74.97495826,4.1,45492.0,Wave beat 1.69Inch HD display with complete health monitoring,Rectangle,Red,Silicon,1,22.0,1,1.6,35 - 50 g
162,boat,2499.0,5990.0,58.28046745,4.2,39734.0,"Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display",Rectangle,Grey,Silicon,1,22.0,1,1.7,35 - 50 g
163,boat,1299.0,6990.0,81.41630901,3.9,17456.0,Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates,Rectangle,Purple,Silicon,1,22.0,1,1.7,35 - 50 g
164,boat,1299.0,5990.0,78.31385643,4.1,619130.0,"Storm 1.3"" CurvedDisplay",Square,Blue,Thermo Plastic Polyurethene,1,22.0,1,1.3,35 - 50 g
165,boat,1999.0,8999.0,77.78642071,3.9,6469.0,"Storm Pro with 1.78"" AMOLED Display, 700+ Active Modes",Rectangle,Black,Silicon,1,22.0,1,1.8,35 - 50 g
166,boat,2499.0,7990.0,68.72340426,4.0,8179.0,Wave Arcade with 1.81 inch HD Display and Bluetooth Calling,Rectangle,Green,Silicon,1,22.0,1,1.8,35 - 50 g
